epoch,model_name,timestamp,learning_rate,training_time_seconds,train_segmentation_loss,train_segmentation_accuracy,train_segmentation_miou,val_segmentation_loss,val_segmentation_accuracy,val_segmentation_miou,train_background_precision,train_background_recall,train_background_f1,train_background_iou,train_face_precision,train_face_recall,train_face_f1,train_face_iou,val_background_precision,val_background_recall,val_background_f1,val_background_iou,val_face_precision,val_face_recall,val_face_f1,val_face_iou,train_race_loss,train_race_accuracy,train_race_weighted_f1,train_race_macro_f1,val_race_loss,val_race_accuracy,val_race_weighted_f1,val_race_macro_f1,train_white_precision,train_white_recall,train_white_f1,train_white_iou,train_white_support,val_white_precision,val_white_recall,val_white_f1,val_white_iou,val_white_support,train_black_precision,train_black_recall,train_black_f1,train_black_iou,train_black_support,val_black_precision,val_black_recall,val_black_f1,val_black_iou,val_black_support,train_asian_precision,train_asian_recall,train_asian_f1,train_asian_iou,train_asian_support,val_asian_precision,val_asian_recall,val_asian_f1,val_asian_iou,val_asian_support,train_indian_precision,train_indian_recall,train_indian_f1,train_indian_iou,train_indian_support,val_indian_precision,val_indian_recall,val_indian_f1,val_indian_iou,val_indian_support,train_others_precision,train_others_recall,train_others_f1,train_others_iou,train_others_support,val_others_precision,val_others_recall,val_others_f1,val_others_iou,val_others_support
1,HRNetV2,2025-07-04 03:30:12,3.9999999999999996e-05,100.21265912055969,0.4171340080887772,0.8178619642842395,0.6427205021322073,0.30410124171361014,0.8690301476337567,0.7463818319583988,0.7527309750243318,0.612973329585915,0.6757011407234865,0.5102331778897053,0.8398139256787582,0.9097221761644417,0.8733712983324192,0.7752078263747093,0.7497700558743503,0.8657293668110817,0.8035879263486506,0.671664911445407,0.9353419447725759,0.8705094650675608,0.9017618686392508,0.8210987524713906,1.4935996560163276,0.41057082452431287,0.2622078758970984,0.1325287166372607,1.4244212003429086,0.4248048934823877,0.2544285814560945,0.11966725244874443,0.427260519245595,0.9489250652299127,0.5892202203074265,0.41765574577247905,8047,0.42705682781113113,0.9990079364583825,0.5983362622437222,0.4268757948192693,2016,0.1413043477748897,0.010800332317618379,0.0200668764382678,0.01013513513487175,3611,0.0,0.0,0.0,0.0,905,0.11904761903187201,0.032834731848491984,0.05147265698513042,0.02641620193641279,2741,0.0,0.0,0.0,0.0,687,0.187499998828125,0.000946670874062901,0.001883829455478888,0.0009428032683550345,3169,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1352,0.0,0.0,0.0,0.0,338
2,HRNetV2,2025-07-04 03:32:00,4.000142562380119e-05,107.69731163978577,0.29421706116476726,0.8806496134268053,0.75935808389784,0.2793826719447797,0.884125090580755,0.7659711997417005,0.8040251283231289,0.8124676995183525,0.8082243171158493,0.6781682263108673,0.9155271110234834,0.9112172001956277,0.9133670213374427,0.8405479414848126,0.8061971921034863,0.8235490221429498,0.814780685076392,0.6874514776971155,0.9201493765236826,0.9112735863232786,0.9156899236535748,0.8444909217862855,1.4353655923244566,0.42484143763213533,0.25569814072686975,0.12141103683483087,1.420031759135961,0.4252267454123603,0.25430348817382775,0.11960841641191641,0.4273845662223604,0.9978860979731673,0.5984562762883958,0.426997978075838,8042,0.4265763859410373,0.9999999999503968,0.5980420820595821,0.4265763859410373,2016,0.9999999666666678,0.0008303349017207215,0.001659291869514925,0.0008303349017207215,3613,0.0,0.0,0.0,0.0,905,0.07142857137755103,0.003646973012266704,0.006939616016243613,0.0034818941502965917,2742,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3174,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1349,0.0,0.0,0.0,0.0,338
3,HRNetV2,2025-07-04 03:33:42,4.000570248673628e-05,100.93985104560852,0.27887386291526084,0.8844055119326957,0.7651969323547528,0.2743865769451566,0.8856957255976785,0.7676204337932061,0.8146666707699463,0.8110875143488955,0.81287310273875,0.6847399286888914,0.915472536874362,0.917275711537925,0.9163731871670526,0.8456539360206142,0.8156625796072899,0.8147904861838049,0.8152262496637853,0.6880860871847614,0.9170340433808886,0.9174734662136214,0.9172536521693958,0.8471547804016508,1.427663502305053,0.4331395348837209,0.2811349537042572,0.14660954506382665,1.4055267104969777,0.4446319341910989,0.29827537239497454,0.16336602875872147,0.4349898635667361,0.9867014665549751,0.6037950672335455,0.4324545157400999,8046,0.4383380962752619,0.9890873015382396,0.6074637807302967,0.4362283964026203,2016,0.6119402983552387,0.06812517308036209,0.12260152694480808,0.06530395540044322,3611,0.6195652170545841,0.1259668508148103,0.2093663630633107,0.11692307691108482,905,0.03745318350657184,0.003649635036363152,0.006651131140779698,0.0033366700032253366,2740,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3172,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1351,0.0,0.0,0.0,0.0,338
4,HRNetV2,2025-07-04 03:35:41,4.001283056340047e-05,118.33050966262817,0.2739856925814651,0.8846629128647657,0.7654793371740469,0.2714446724290914,0.8873537293317272,0.7686274586425582,0.8161761776277489,0.8097917788736303,0.8129713940107706,0.6848794326872482,0.9150211978664453,0.918230192415481,0.916622836566673,0.8460792416608457,0.8309509672839513,0.7984432997161425,0.8143728070473688,0.6868709626415233,0.9112244350998905,0.9272008914558747,0.9191431932312498,0.8503839546435932,1.399707552998565,0.465169133192389,0.3426571535077848,0.20747961080004834,1.368792216905032,0.4707867538493989,0.3411336898442072,0.2048267356656584,0.46245818361750424,0.9281362675503154,0.6173247436938204,0.44647129186335843,8043,0.4569428237933036,0.9712301586819826,0.6214886090587597,0.4508404328701165,2016,0.4851017441684193,0.36929460579891304,0.4193497231686558,0.2653020667673827,3615,0.6008771928506847,0.3027624309057721,0.4026450692695322,0.25206991718012234,905,0.03846153831360947,0.00036523009494648543,0.0007235871377652484,0.0003619254433455691,2738,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3172,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1352,0.0,0.0,0.0,0.0,338
5,HRNetV2,2025-07-04 03:37:46,4.002280981145207e-05,124.27621269226074,0.27141539371290874,0.8849247123927949,0.7662246817108409,0.2798200851941607,0.8861808398684679,0.7672783655009503,0.8148290540757935,0.8130109490362795,0.8139189362517942,0.6862254574664929,0.916249715395603,0.9171662960054786,0.9167077265872481,0.8462239059551889,0.8241404882002273,0.8037197180302644,0.8138019684593548,0.6860591832984829,0.9129988213513267,0.9231376030404906,0.9180401700251835,0.8484975477034176,1.3659461916879165,0.4801268498942918,0.3603493132347414,0.22338746392450098,1.4949589569441404,0.39865007382408774,0.31890647000689526,0.19780659367996628,0.4813514408712729,0.9032819492677364,0.6280305523296074,0.45775845775557383,8044,0.5990809879035565,0.5173611110854484,0.5552301871294718,0.3843036108922512,2016,0.47529411763463286,0.5033222591222779,0.4889067672928976,0.32354511478335035,3612,0.28233333332392224,0.9359116021065291,0.4338027812703595,0.27697841725712957,905,0.0,0.0,0.0,0.0,2741,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3171,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1352,0.0,0.0,0.0,0.0,338
6,HRNetV2,2025-07-04 03:39:27,4.003564017161353e-05,101.8853030204773,0.2702942428200744,0.8849972029317005,0.7660901038490313,0.264886500110759,0.8852056645311099,0.7691110021889398,0.8166198374135958,0.8105039063010976,0.8135503277680961,0.6857015776502,0.9153230271245285,0.9183965607606075,0.9168571681374805,0.8464786300478625,0.800317291943212,0.8382016525553665,0.81882145822812,0.6932241942151749,0.9259148010011456,0.9062715450333281,0.915987823279363,0.8449978101627047,1.2795041134191114,0.515169133192389,0.39095913461778964,0.2490242196797719,1.349850532073709,0.5131828728116431,0.3876852444825667,0.2477056568615274,0.5092368366393881,0.9154228855607535,0.6544257754252436,0.48635432498191794,8040,0.4804848484732004,0.983134920586154,0.645497431857279,0.47655686461946245,2016,0.5343631072188413,0.6603042876719142,0.5906953229736158,0.4191395961296025,3615,0.7321428570240028,0.4983425413813986,0.5930308524503581,0.42149532706341164,905,0.0,0.0,0.0,0.0,2745,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3170,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1350,0.0,0.0,0.0,0.0,338
7,HRNetV2,2025-07-04 03:41:13,4.005132156767108e-05,105.28867650032043,0.26690551673257074,0.885345187197276,0.766395293836631,0.2632344636175859,0.8868144803146751,0.7698567871255182,0.8190375299944269,0.808119665877544,0.8135419197141266,0.6856896316124277,0.9144980450676422,0.9199625346459512,0.9172221010488429,0.8471009560608342,0.815847518079057,0.8191669046144048,0.8175037918577116,0.6913374189237657,0.9188076258306042,0.9171322273763955,0.9179691121558484,0.8483761553272708,1.2051093966461892,0.5392177589852009,0.4104175823793507,0.26366897442049453,1.1284844537898726,0.5566336215988188,0.4249826710411374,0.2773149053093765,0.5322912966214401,0.9309145129108982,0.6773041167930124,0.512063426966632,8048,0.5306345732896435,0.9623015872538541,0.6840620133943327,0.519828510168279,2016,0.5593395252722531,0.7506925207548285,0.6410407553094603,0.4717145343695089,3610,0.6442396312770285,0.7723756905223894,0.70251251315255,0.5414407435676653,905,0.0,0.0,0.0,0.0,2742,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3172,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1348,0.0,0.0,0.0,0.0,338
8,HRNetV2,2025-07-04 03:42:54,4.00698539064758e-05,100.11121034622192,0.2642611861228943,0.8856605473330863,0.7668709265045643,0.259212256584256,0.8875585530684784,0.7704888725461256,0.8202235242998368,0.807676738532241,0.8139017302280048,0.6862009963891935,0.9143550564710147,0.9206262983336297,0.9174799110884362,0.8475408566199352,0.8214809884038686,0.8134413807425059,0.8174413674917023,0.6912481373699024,0.9167547814473147,0.9207757919753828,0.918760837185972,0.8497296077223487,1.1502866744995117,0.5521141649048625,0.42080591851411414,0.2710797074164743,1.196036272701697,0.5454545454545454,0.4178363829678639,0.27398874760736003,0.5476537452597809,0.9337805938509904,0.6903963158576999,0.5271796310547298,8049,0.503797468341676,0.9871031745542111,0.6671135992145262,0.5005030180960638,2016,0.5638953040692091,0.8102876105970607,0.6650022212246716,0.4981298877847989,3616,0.7534766117884354,0.6585635358388328,0.7028301388222741,0.5418181817689256,905,0.0,0.0,0.0,0.0,2736,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3171,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1348,0.0,0.0,0.0,0.0,338
9,HRNetV2,2025-07-04 03:44:36,4.009123707794367e-05,101.12278819084167,0.2620600600575292,0.8861376304707114,0.7674770635167306,0.25689285799964673,0.887486839012817,0.7715397073837471,0.8224851272764376,0.8061527758798889,0.8142370093155447,0.6866777762822123,0.9138609523446187,0.9219965684268016,0.9179106838654947,0.848276350751249,0.8137953479328387,0.8252673105732152,0.8194911325514656,0.6941847197028989,0.9211918109793843,0.9153718874569673,0.9182725777825181,0.8488946950645954,1.1066510802091554,0.5616807610993657,0.42806625654898456,0.27643834771352394,1.0679585610077718,0.5707656612529002,0.43517003308395336,0.28243617749599137,0.5570548547920426,0.9438369781194852,0.7006086970882562,0.5391822827900399,8048,0.5588574725747589,0.9608134920158327,0.7066763489483906,0.546403385033952,2016,0.5736184708445569,0.839612188342393,0.6815830414793634,0.5169708340351873,3610,0.6031372548546559,0.8497237568121853,0.7055045385315664,0.5450035435474838,905,0.0,0.0,0.0,0.0,2741,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3172,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1349,0.0,0.0,0.0,0.0,338
10,HRNetV2,2025-07-04 03:46:24,4.011547095505671e-05,107.3475890159607,0.2607059927527295,0.886397477486673,0.7679776694226267,0.2560262337084989,0.8880604323745402,0.7701306968274488,0.8226945890844563,0.8069230772958346,0.8147324645008122,0.6873828266281781,0.9141722243056664,0.9220295911962874,0.9180840463605946,0.8485725122170753,0.8305425175882084,0.8019058865109082,0.8159729782338488,0.6891507099628907,0.9125707900163967,0.9266724846568597,0.9195675276633786,0.8511106836920069,1.0853149890899658,0.5658562367864693,0.4312998107901391,0.27827391182717964,1.1321246864624201,0.5600084370385995,0.42949851482677226,0.2832289501993578,0.5656700877542342,0.9451969678023463,0.7077652720894911,0.5477064880784351,8047,0.5191400104740655,0.9821428570941397,0.6792452377512452,0.5142857142723563,2016,0.5666483817779,0.859400998312274,0.6829751587037057,0.5185742971800774,3606,0.7281553397272756,0.7458563535087451,0.7368995132455436,0.5834053586358335,905,0.0,0.0,0.0,0.0,2743,0.0,0.0,0.0,0.0,687,0.19999999600000007,0.00031505986136373475,0.0006291283427013131,0.0003146633102481226,3174,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1350,0.0,0.0,0.0,0.0,338
