epoch,model_name,timestamp,learning_rate,training_time_seconds,train_segmentation_loss,train_segmentation_accuracy,train_segmentation_miou,val_segmentation_loss,val_segmentation_accuracy,val_segmentation_miou,train_background_precision,train_background_recall,train_background_f1,train_background_iou,train_face_precision,train_face_recall,train_face_f1,train_face_iou,val_background_precision,val_background_recall,val_background_f1,val_background_iou,val_face_precision,val_face_recall,val_face_f1,val_face_iou,train_race_loss,train_race_accuracy,train_race_weighted_f1,train_race_macro_f1,val_race_loss,val_race_accuracy,val_race_weighted_f1,val_race_macro_f1,train_white_precision,train_white_recall,train_white_f1,train_white_iou,train_white_support,val_white_precision,val_white_recall,val_white_f1,val_white_iou,val_white_support,train_black_precision,train_black_recall,train_black_f1,train_black_iou,train_black_support,val_black_precision,val_black_recall,val_black_f1,val_black_iou,val_black_support,train_asian_precision,train_asian_recall,train_asian_f1,train_asian_iou,train_asian_support,val_asian_precision,val_asian_recall,val_asian_f1,val_asian_iou,val_asian_support,train_indian_precision,train_indian_recall,train_indian_f1,train_indian_iou,train_indian_support,val_indian_precision,val_indian_recall,val_indian_f1,val_indian_iou,val_indian_support,train_others_precision,train_others_recall,train_others_f1,train_others_iou,train_others_support,val_others_precision,val_others_recall,val_others_f1,val_others_iou,val_others_support
1,PSPNet,2025-07-04 03:07:59,3.9999999999999996e-05,99.95226049423218,0.6026039314131404,0.7068004737192682,0.5371300085318459,0.4359368566432298,0.8733221447133385,0.7497186725161327,0.5161084364958778,0.8437741970500421,0.640465491402398,0.47109180137489587,0.902122007862748,0.6454049689490121,0.7524702284013087,0.6031682156887959,0.7756946813796048,0.8309512767892954,0.8023727224970266,0.6699687131121643,0.9217385640687044,0.8923115799326932,0.906786344103492,0.8294686319201009,1.478144368460012,0.42389006342494717,0.25856882594056874,0.1257922678802307,1.4117241492127597,0.4252267454123603,0.2537389547364585,0.11934289527832835,0.4266830782381104,0.9906809145006128,0.5964688738996995,0.4249773466210491,8048,0.4252267454033911,0.9999999999503968,0.5967144763916418,0.4252267454033911,2016,0.2560975606632957,0.005825242718285014,0.01139137075195791,0.005728314238796282,3605,0.0,0.0,0.0,0.0,905,0.07999999968,0.000728862973734371,0.0014445630353412265,0.0007228044813616623,2744,0.0,0.0,0.0,0.0,687,0.22499999971875,0.005672864796543559,0.01106670285621775,0.005564142194572979,3173,0.0,0.0,0.0,0.0,795,0.12765957419646898,0.004444444444115226,0.008589828857937003,0.0043134435654699176,1350,0.0,0.0,0.0,0.0,338
2,PSPNet,2025-07-04 03:09:41,4.000142562380119e-05,101.90223574638367,0.4004782438278198,0.8754425476267776,0.7543688055588782,0.3710567010804285,0.8778438507768832,0.7593135139960929,0.7735367911505644,0.8449973494046403,0.8076894783084493,0.6774154444849155,0.9275062138384136,0.8890918439410171,0.9078928175688187,0.831322166632841,0.7723715317249714,0.8582025431954176,0.8130279787492325,0.684959753227422,0.9331194478499628,0.8866465342293504,0.9092895318862364,0.8336672747647639,1.4205001939174742,0.42721987315010573,0.2593911083265433,0.12492635095233258,1.3859147818071935,0.42775785699219576,0.26004948605785855,0.1256437064436546,0.4267729083642668,0.9983844911022942,0.5979457752465792,0.4264783947317843,8047,0.42669491524519715,0.9990079364583825,0.5979809556640598,0.42651418889397474,2016,0.6315789465373962,0.013303769400961648,0.0260586278795773,0.013201320131650129,3608,0.6666666634920635,0.01546961325795916,0.03023757655421323,0.015350877191299246,905,0.0,0.0,0.0,0.0,2740,0.0,0.0,0.0,0.0,687,0.06666666622222223,0.0003151591553635311,0.0006273516355063991,0.00031377470974854803,3173,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1352,0.0,0.0,0.0,0.0,338
3,PSPNet,2025-07-04 03:11:24,4.000570248673628e-05,102.43221497535706,0.37138254836548207,0.8753288938429592,0.7561621232856748,0.3459658061960181,0.8802232466727665,0.7623769527322607,0.7629001104342975,0.8665538980009855,0.8114301115445982,0.6826945585785904,0.9362938941293262,0.8792628418402925,0.9068825760116732,0.829629687992759,0.7815042792953559,0.8508509044426831,0.8147045309175366,0.6873430603451851,0.9303871618410836,0.8933871070642686,0.9115117627909567,0.8374108451193363,1.4026542707931164,0.44577167019027486,0.3013966181214051,0.16647789536712118,1.36709282597367,0.4931449061379456,0.3688627709973007,0.22828769083681238,0.44001775607346566,0.9860731161280021,0.6085021058834901,0.43730009925864505,8042,0.4896800825467059,0.9414682539215541,0.6442633629717613,0.47521281921694514,2016,0.5639013452282622,0.13918096291811896,0.22325784662031195,0.12565575817822494,3614,0.5086705201724081,0.486187845250145,0.4971750912123004,0.3308270676442987,905,0.0,0.0,0.0,0.0,2741,0.0,0.0,0.0,0.0,687,0.16666666388888893,0.0003153579312420259,0.0006295243318039287,0.0003148614609472651,3171,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1352,0.0,0.0,0.0,0.0,338
4,PSPNet,2025-07-04 03:13:10,4.001283056340047e-05,104.43513798713684,0.36191284379293753,0.8737669083835207,0.7544449162733776,0.3732943291453917,0.8628949139395286,0.7401720222859609,0.7559666710420352,0.8744969186144225,0.8109233325407642,0.6819774017834525,0.9394795959858503,0.8734396265381096,0.9052567284854566,0.8269124307633028,0.7234899833316124,0.9015286769456752,0.8027562307589605,0.6705036467138351,0.9503973587323764,0.8455803443819647,0.8949301316564978,0.8098403978580866,1.3330895471018414,0.49297040169133194,0.3706801633056814,0.23017291426773498,1.359322511403024,0.49588694368276737,0.3690905926123595,0.23082276204535876,0.49617706237091763,0.9195773772415218,0.6445654086157554,0.47554155685237803,8045,0.46839622640404727,0.9851190475701825,0.6349104422321762,0.46510538640596943,2016,0.4810473815341385,0.5343490304561123,0.5062991627229195,0.3389562466993682,3610,0.7285429140262389,0.40331491708250666,0.5192033679946176,0.35062439958207253,905,0.0,0.0,0.0,0.0,2743,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3172,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1350,0.0,0.0,0.0,0.0,338
5,PSPNet,2025-07-04 03:14:51,4.002280981145207e-05,101.29003930091858,0.349418381618899,0.8723223268859734,0.7525504468918501,0.33789290747067213,0.8716235399195927,0.7518497900737295,0.7512168436374138,0.8783997131274517,0.8098452568073196,0.6804538190939393,0.9410140677852794,0.8695980382326778,0.9038975707505148,0.824647074689761,0.7478414358773355,0.8828649319610894,0.8097631197584063,0.6803378526087298,0.9428814326019285,0.8665854631369766,0.9031248924448455,0.8233617275387293,1.2354989994403929,0.5295983086680761,0.4028257331562318,0.25685981446190376,1.2852373612729138,0.5119173170217254,0.4068862869514542,0.24736613335450436,0.5322627314776311,0.9148327738292324,0.6729774995624412,0.5071335033392574,8043,0.6784950833399532,0.7872023809133332,0.7288174014470857,0.5733381502683043,2016,0.5223704866459503,0.7367838361268535,0.6113215727470777,0.44021829005390745,3613,0.3497085761719522,0.9281767954775496,0.508013265325436,0.3404945277527161,905,0.0,0.0,0.0,0.0,2739,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3172,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1353,0.0,0.0,0.0,0.0,338
6,PSPNet,2025-07-04 03:16:33,4.003564017161353e-05,101.91186571121216,0.33831118151198986,0.8716539241798836,0.7518959838691576,0.3250717987455514,0.8726426184718001,0.7541246511979798,0.7480079767877497,0.8827174079996004,0.8097986676392802,0.6803880394581053,0.9428078025138469,0.866694423349054,0.903150278449145,0.8234039282802098,0.7464269302472272,0.8912402971817494,0.8124308862928701,0.68411257960724,0.9466151776723295,0.8643076602234561,0.9035909062995875,0.8241367227887194,1.1618534271107164,0.5505813953488372,0.4194124974166375,0.26970405993304797,1.1158134420067418,0.5591647331786543,0.42708946975238404,0.27904507770446374,0.5491100856914296,0.9323467230328025,0.6911587991034378,0.5280693104139743,8041,0.5313180827742016,0.9677579364599326,0.6860055800930284,0.5220765319635516,2016,0.554395291426725,0.8072988664416009,0.657361500561802,0.48960429241298453,3617,0.6548175864682116,0.7734806628979579,0.7092198084292903,0.5494505494074214,905,0.0,0.0,0.0,0.0,2744,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3168,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1350,0.0,0.0,0.0,0.0,338
7,PSPNet,2025-07-04 03:18:14,4.005132156767108e-05,101.52741622924805,0.3279921824848929,0.872542812355477,0.7533340963255346,0.32204408138091495,0.8741700873046051,0.7558121791551111,0.749485243358566,0.8835461082179963,0.8110128795094211,0.6821040775556794,0.9432444006783163,0.8676101895561675,0.9038477329888227,0.8245641150953897,0.752890100102299,0.8833296476393329,0.8129104994691654,0.6847930023894001,0.9433098195205313,0.8700650291328931,0.9052081437564148,0.826831355920822,1.1228779249413068,0.5602536997885835,0.42685646494874635,0.275826845108735,1.1343381587424577,0.5572663994937777,0.43173652688462816,0.26829222768137273,0.5535766211067638,0.9464330101796367,0.6985597185824025,0.53675900471885,8046,0.6512989388711563,0.8829365078927115,0.7496314524768775,0.5995284607410062,2016,0.5780402788424083,0.8273281596223024,0.6805745069612723,0.5158113011834143,3608,0.42928286850451775,0.9524861877400568,0.591829685929986,0.42028278886297993,905,0.0,0.0,0.0,0.0,2742,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3171,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1353,0.0,0.0,0.0,0.0,338
8,PSPNet,2025-07-04 03:19:56,4.00698539064758e-05,101.78568696975708,0.3204027487095012,0.8734096188373848,0.7544356321765007,0.3112990391503354,0.8759584424868336,0.7584366786639136,0.7524779924511648,0.8807652350648999,0.8115832402148848,0.6829113752889532,0.9421206886492165,0.8701119419077228,0.904685637876194,0.825959889064048,0.7573752880977141,0.8816091648483623,0.8147837562183315,0.6874558498343076,0.9427303944280431,0.873425947131317,0.9067557934996108,0.8294175074935195,1.0980711600115134,0.5654334038054968,0.43091009627901916,0.27840580575474994,1.1495964950309276,0.5543134359839696,0.4320800710693319,0.2657186379819235,0.5636566332176614,0.9428145201275135,0.7055211401926901,0.5450233560866329,8044,0.6684151367302955,0.88492063487674,0.7615794600103498,0.6149603584758718,2016,0.5700164744541458,0.8628428927441717,0.6865078885810594,0.522658610263131,3609,0.4073359073162483,0.9325966849798236,0.5670137298992678,0.3956868260480222,905,0.0,0.0,0.0,0.0,2740,0.0,0.0,0.0,0.0,687,0.0,0.0,0.0,0.0,3176,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1351,0.0,0.0,0.0,0.0,338
9,PSPNet,2025-07-04 03:21:40,4.009123707794367e-05,104.36594653129578,0.31410351153029953,0.8744557281881256,0.7558908497926347,0.30085543655464103,0.877309954083436,0.7600986125214222,0.7553968512266762,0.8790013753299841,0.8125251480734048,0.6842462646563008,0.9414705002228765,0.8724181790599358,0.9056299248599379,0.8275354349289684,0.7625535803039584,0.8764720520396687,0.8155538843963476,0.6885530356106553,0.9406656373465108,0.8776854782905109,0.9080848218166541,0.831644189432189,1.0744652540184731,0.5690803382663848,0.4342266650202958,0.2802653157821826,1.0269331544845122,0.5743514026576672,0.4378269501156144,0.28384189247569547,0.5715574941673193,0.9455088330312825,0.7124442933172626,0.5533309064393641,8038,0.5616948181917637,0.9732142856660112,0.712288935234569,0.5531435015350115,2016,0.5639379347143938,0.8746887966563018,0.6857514162087397,0.5217821782092116,3615,0.6097756409767807,0.8408839778076371,0.7069205271439081,0.5466954022595765,905,0.0,0.0,0.0,0.0,2737,0.0,0.0,0.0,0.0,687,0.312499998046875,0.0015733165512406132,0.003130869384910732,0.0015678896205215463,3178,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,0.0,1352,0.0,0.0,0.0,0.0,338
10,PSPNet,2025-07-04 03:23:23,4.011547095505671e-05,102.79951286315918,0.30776417844517284,0.8747044085448187,0.7563009297029388,0.30268292049520806,0.8771040103174518,0.7599817833941377,0.7559154914332171,0.8791239882050322,0.8128774983193571,0.6847461664044906,0.941530213144816,0.8727228157083212,0.9058216691180533,0.8278556930013872,0.7610379054649179,0.8788388728565351,0.8157072081222198,0.688771643059405,0.9416511763937155,0.8763264935609034,0.9078151418619418,0.8311919237288704,1.0556474307248758,0.5713002114164905,0.43784881586833824,0.2831011799527381,1.0721860368954332,0.569921957392955,0.43925986424054847,0.2920394635382874,0.5775075987798062,0.9450385476132176,0.7169134516332883,0.558741361560368,8042,0.5256478053800728,0.9861111110621968,0.6857536627902671,0.521784776889192,2016,0.5600070286318748,0.8818483674354773,0.6850080126591868,0.520921869883607,3614,0.7492096943362266,0.7856353590292116,0.7669902412075618,0.6220472440400658,905,0.0,0.0,0.0,0.0,2742,0.0,0.0,0.0,0.0,687,0.31884057924805714,0.00694006309126372,0.013584435471215456,0.006838669567707844,3170,0.2999999970000001,0.003773584905185713,0.007453413693608285,0.0037406483785859543,795,0.0,0.0,0.0,0.0,1352,0.0,0.0,0.0,0.0,338
